City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Gladstone,AU,-23.85,151.25,71.53,83,100,4.61,overcast clouds
171,Karratha,AU,-20.7377,116.8463,71.8,34,12,8.99,few clouds
172,Vardo,NO,70.3705,31.1107,46.38,93,100,20.71,light intensity shower rain
173,Pevek,RU,69.7008,170.3133,33.76,74,100,6.51,overcast clouds
174,Lakheri,IN,25.6667,76.1667,80.78,72,90,2.04,overcast clouds
175,Saint-Georges,GD,12.0564,-61.7485,89.28,66,20,9.22,few clouds
176,Voznesenye,RU,61.0106,35.4781,49.64,93,96,4.94,overcast clouds
177,Torbay,CA,47.6666,-52.7314,61.27,82,75,25.32,broken clouds
178,Utica,US,43.1009,-75.2327,64.35,69,100,7.74,overcast clouds
179,Iquitos,PE,-3.7481,-73.2472,77.04,78,100,4.61,overcast clouds
180,Fort Nelson,CA,58.8053,-122.7002,62.19,34,75,9.22,broken clouds
181,Palmer,US,42.1584,-72.3287,73.92,47,40,1.99,scattered clouds
182,Slave Lake,CA,55.2834,-114.769,58.98,82,0,6.91,clear sky
183,Talnakh,RU,69.4865,88.3972,31.21,86,13,4.41,few clouds
184,Wajima,JP,37.4,136.9,75.42,87,100,3.42,overcast clouds
185,Batangafo,CF,7.3008,18.2833,72.9,93,100,1.63,light rain
186,San Cristobal,VE,7.7669,-72.225,82.58,72,100,5.46,overcast clouds
187,Tuatapere,NZ,-46.1333,167.6833,38.88,83,8,5.46,clear sky
188,Kavaratti,IN,10.5669,72.642,80.46,79,99,9.89,overcast clouds
189,Pangnirtung,CA,66.1451,-65.7125,42.8,87,75,10.36,broken clouds
190,Scarborough,GB,54.2797,-0.4044,52.92,72,100,4.0,overcast clouds
191,Virklund,DK,56.1322,9.5558,54.32,91,16,8.05,few clouds
192,Nhulunbuy,AU,-12.2333,136.7667,70.41,88,48,0.0,scattered clouds
193,Kailua,US,21.4022,-157.7394,84.15,77,83,6.89,broken clouds
194,Bourail,NC,-21.5667,165.4833,67.64,77,2,4.36,clear sky
195,Hermanus,ZA,-34.4187,19.2345,58.8,88,68,9.62,light rain
196,Saskylakh,RU,71.9167,114.0833,30.97,88,100,16.06,overcast clouds
197,College,US,64.8569,-147.8028,49.8,86,40,3.44,mist
198,Ulaanbaatar,MN,47.9077,106.8832,39.33,81,75,20.13,broken clouds
199,Saint-Francois,FR,46.4154,3.9054,58.44,72,0,4.61,clear sky
200,Baijiantan,CN,45.6333,85.1833,57.34,38,0,3.98,clear sky
201,Kadaya,RU,50.9327,119.2911,42.55,96,100,3.94,overcast clouds
202,Buala,SB,-8.145,159.5921,80.02,77,4,4.05,clear sky
203,Alofi,NU,-19.0595,-169.9187,76.89,83,2,5.75,clear sky
204,Coquimbo,CL,-29.9533,-71.3436,56.93,76,100,9.22,overcast clouds
205,Latung,PH,5.5,120.8833,83.55,70,100,6.6,overcast clouds
206,Lavrentiya,RU,65.5833,-171.0,43.63,97,100,29.57,moderate rain
207,Launceston,AU,-41.45,147.1667,50.81,97,75,11.5,broken clouds
208,Konevo,RU,62.1215,39.3192,51.62,97,100,7.25,moderate rain
209,Mazyr,BY,52.0495,29.2456,50.09,86,44,7.81,scattered clouds
210,Purranque,CL,-40.9167,-73.1667,39.27,98,100,3.53,moderate rain
211,Kolpashevo,RU,58.3131,82.9089,41.99,90,85,2.89,overcast clouds
212,Mizan Teferi,ET,6.9833,35.5833,61.03,93,100,3.04,overcast clouds
213,Provideniya,RU,64.3833,-173.3,45.09,97,100,34.05,moderate rain
214,Bhalki,IN,18.0333,77.2167,71.24,93,100,9.06,overcast clouds
215,Longyearbyen,SJ,78.2186,15.6401,30.04,80,75,9.22,broken clouds
216,Portland,US,45.5234,-122.6762,69.53,61,75,6.91,broken clouds
217,Stephenville Crossing,CA,48.5,-58.4318,61.21,63,75,18.41,broken clouds
218,Flinders,AU,-34.5833,150.8552,54.37,76,9,4.0,clear sky
219,Ust-Nera,RU,64.5667,143.2,28.15,89,61,6.24,broken clouds
220,Puri,IN,19.8,85.85,84.72,82,99,12.48,overcast clouds
221,Qaanaaq,GL,77.484,-69.3632,32.04,86,77,3.53,broken clouds
222,Vallenar,CL,-28.5708,-70.7581,71.19,37,100,8.55,overcast clouds
223,Mecca,SA,21.4267,39.8261,90.88,41,22,3.38,few clouds
224,Guerrero Negro,MX,27.9769,-114.0611,74.79,62,0,18.21,clear sky
225,Canutama,BR,-6.5339,-64.3831,99.16,27,39,0.58,scattered clouds
226,Porbandar,IN,21.6422,69.6093,80.53,76,100,12.66,overcast clouds
